pathway	name	entropy	category	subcategory
05320	Autoimmune thyroid disease	3.8137357432729	Human Diseases	Immune disease
05321	Inflammatory bowel disease	4.21268403580389	Human Diseases	Immune disease
05322	Systemic lupus erythematosus	4.2147982672886	Human Diseases	Immune disease
05323	Rheumatoid arthritis	4.14943297049196	Human Diseases	Immune disease
05330	Allograft rejection	4.0938021280725	Human Diseases	Immune disease
05332	Graft-versus-host disease	3.95814382655566	Human Diseases	Immune disease
05340	Primary immunodeficiency	3.91043830766092	Human Diseases	Immune disease
05410	Hypertrophic cardiomyopathy	4.12479246573128	Human Diseases	Cardiovascular disease
05412	Arrhythmogenic right ventricular cardiomyopathy	4.33990895183942	Human Diseases	Cardiovascular disease
05414	Dilated cardiomyopathy	4.12755838094386	Human Diseases	Cardiovascular disease
05415	Diabetic cardiomyopathy	4.86041341859626	Human Diseases	Cardiovascular disease
05416	Viral myocarditis	4.48012424716517	Human Diseases	Cardiovascular disease
05417	Lipid and atherosclerosis	4.53817497114897	Human Diseases	Cardiovascular disease
05418	Fluid shear stress and atherosclerosis	4.77861828710725	Human Diseases	Cardiovascular disease
