featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX185224	9.309	34.834	10.117	18.452	20.009	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	250	8458	4	19504	166125	2873	25	450	20	142	59	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	61	26089	2555187	0	8.25503182350255	16.5984068793204	NA	NA	NA	NA	467398	0	304310	0	268819	0	0	0.575139	NA	212373	61736	818	28858	90678	525	2080	3599	1550	3994	5864	2555187	166223	6.5	77.6	1841514	72.1	NA	NA	NA	NA	NA	NA	713673	53	353392	49.52	64.29	28316	24489	23802	1419	39	3056	2.67	0.01	1.52	0	1.39	114006	15.97	6603	0.93	0	0	41408	5.8	198264	27.78	0	0	FALSE	Healthy
SRX185223	7.374	42.918	8.071	17.026	18.247	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	905	21711	5	45480	553466	10352	54	1911	53	550	165	23	0	9	3	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	171	56432	6547178	0	8.89517208788275	27.4230276942136	NA	NA	NA	NA	1422934	0	805056	0	956213	0	0	0.672001	NA	493779	119919	1442	81218	224149	1135	4421	7614	3691	9606	14066	6547178	535994	8.2	75.1	4485500	68.5	NA	NA	NA	NA	NA	NA	2061678	56	1092100	52.97	64.45	82042	72588	67099	7083	262	7598	2.32	0.01	1.47	0	1.36	330834	16.05	15065	0.73	0	0	104659	5.08	519020	25.17	0	0	FALSE	Healthy
SRX185226	11.055	30.427	11.98	20.78	22.111	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	184	642	2	10098	126275	1590	9	248	11	138	47	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	27517	1850834	0	8.03481889785902	16.8584161339469	NA	NA	NA	NA	345639	0	234642	0	176565	0	0	0.510836	NA	180757	55198	720	25508	75441	437	1605	2768	1293	3239	4772	1850834	122055	6.6	78.5	1309195	70.7	NA	NA	NA	NA	NA	NA	541639	51	264744	48.88	64.56	12931	10580	10269	818	44	1800	2.74	0.01	1.57	0	1.29	80895	14.94	5571	1.03	0	0	26474	4.89	163955	30.27	0	0	FALSE	Healthy
SRX185228	10.971	33.274	11.876	19.729	21.041	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	372	487	1	16789	220208	2993	23	519	18	210	66	9	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	39	50432	2960271	0	8.1434220042692	19.7507940449995	NA	NA	NA	NA	573666	0	356370	0	309464	0	0	0.53945	NA	283725	88215	1009	40996	118339	597	2282	3957	1953	5049	7281	2960271	203457	6.9	77.9	2079923	70.3	NA	NA	NA	NA	NA	NA	880348	52	451673	51.31	64.89	25381	21783	20590	1931	103	2757	2.81	0.01	1.52	0	1.37	121993	13.86	8695	0.99	0	0	39153	4.45	258834	29.4	0	0	FALSE	Healthy
SRX185227	9.995	28.898	10.84	18.682	19.928	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	198	387	0	8975	117784	1902	12	276	17	130	34	7	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	20382	2268460	0	7.58594729464042	15.2247967446814	NA	NA	NA	NA	338251	0	267257	0	174980	0	0	0.517308	NA	173328	48880	729	26134	73662	415	1544	2730	1375	3312	4790	2268460	124705	5.5	80.2	1659940	73.2	NA	NA	NA	NA	NA	NA	608520	46	251714	41.36	61.96	10525	8133	8042	577	115	1791	2.66	0.01	1.45	0	1.31	86537	14.22	6341	1.04	0	0	29329	4.82	234599	38.55	0	0	FALSE	Healthy
SRX185229	9.838	44.316	10.72	23.332	24.584	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	741	838	6	61597	606611	1809	55	230	37	414	218	14	0	5	0	5	0	0	0	1	0	1	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	283	67303	8443325	0	5.30503587153165	13.5531531536734	NA	NA	NA	NA	1303781	0	530843	0	813032	0	0	0.623596	NA	510162	140813	1649	83305	232347	734	3023	5303	2433	7647	11247	8443325	464990	5.5	86.8	7093703	84	NA	NA	NA	NA	NA	NA	1349622	55	1049777	77.78	56.22	35789	35176	35037	451	12	289	0.62	0.01	1.44	0	1.44	254004	18.82	6127	0.45	0	0	19357	1.43	20357	1.51	0	0	FALSE	Healthy
SRX185230	10.021	29.441	10.783	19.376	20.631	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	104	824	0	8665	82637	924	4	129	9	74	33	6	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	20143	1265996	0	8.40925958691813	14.2907930205267	NA	NA	NA	NA	235529	0	171019	0	119696	0	0	0.508201	NA	124442	38567	592	13474	54114	364	1226	2087	729	2134	3240	1265996	82664	6.5	77.2	893655	70.6	NA	NA	NA	NA	NA	NA	372341	51	180747	48.54	65.51	11299	9615	8447	1570	47	1235	2.94	0.01	1.63	0	1.29	54782	14.71	4210	1.13	0	0	21067	5.66	111535	29.96	0	0	FALSE	Healthy
SRX185231	9.758	31.994	10.574	19.336	20.576	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	210	723	3	13955	141923	1963	23	277	21	180	44	16	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	52	42345	2277916	0	8.03125356685672	18.5174074551329	NA	NA	NA	NA	429258	0	284132	0	228247	0	0	0.531725	NA	213307	59255	837	28011	96708	462	1821	3195	1465	3867	5741	2277916	144576	6.3	78.3	1618696	71.1	NA	NA	NA	NA	NA	NA	659220	52	328840	49.88	64.44	13563	10927	10572	923	112	1956	2.76	0.01	1.55	0	1.37	100418	15.23	6522	0.99	0	0	32874	4.99	190566	28.91	0	0	FALSE	Healthy
SRX185232	10.72	43.01	11.675	25.186	26.515	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	469	748	8	38437	454990	724	22	142	22	231	128	21	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	275	49504	5538302	0	5.55541951305653	14.1033002077309	NA	NA	NA	NA	920327	0	413037	0	573483	0	0	0.62313	NA	362934	115476	1355	63887	146715	553	2004	3471	1773	5211	7456	5538302	327109	5.9	85.8	4576966	82.6	NA	NA	NA	NA	NA	NA	961336	54	729331	75.87	55.66	27055	26524	26329	442	13	271	0.65	0.01	1.49	0	1.32	190996	19.87	6248	0.65	0	0	14669	1.53	20092	2.09	0	0	FALSE	Healthy
SRX185234	8.712	28.925	9.394	18.482	19.556	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	224	1673	4	15690	138112	1738	19	279	26	153	46	10	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	38096	3100486	0	7.53087806234248	15.6472254671155	NA	NA	NA	NA	442332	0	353144	0	230094	0	0	0.520184	NA	226716	63634	866	24686	105739	548	2088	3606	1420	3965	6080	3100486	154439	5	80.5	2276576	73.4	NA	NA	NA	NA	NA	NA	823910	45	334509	40.6	63.19	18985	16102	14298	2337	209	2141	2.87	0.01	1.51	0	1.4	107823	13.09	8347	1.01	0	0	32299	3.92	340932	41.38	0	0	FALSE	Healthy
SRX185235	7.074	37.6	7.716	16.623	17.772	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	648	3296	6	45256	394047	7027	41	1245	67	487	178	28	0	5	1	2	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	123	49566	7213323	0	7.5916310693421	23.0097656427312	NA	NA	NA	NA	1170565	0	791394	0	737697	0	0	0.630206	NA	458573	109596	1256	62429	222300	974	4137	7161	3170	8410	12659	7213323	427456	5.9	80	5216176	72.3	NA	NA	NA	NA	NA	NA	1997147	49	870657	43.6	62.73	52473	44285	41359	4029	538	6547	2.58	0.01	1.45	0	1.41	299908	15.02	16235	0.81	0	0	94514	4.73	715833	35.84	0	0	FALSE	Healthy
SRX185233	6.594	50.753	7.185	26.055	27.024	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	572	1460	8	53328	681625	973	36	137	25	385	176	17	1	1	1	4	0	0	0	0	0	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	523	134947	10701329	0	5.06603030333896	18.1298588635011	NA	NA	NA	NA	1568768	0	727470	0	1165408	0	0	0.742881	NA	418607	119704	1411	69673	183116	703	2716	4678	2185	6554	9521	10701329	519222	4.9	87.5	9069475	84.8	NA	NA	NA	NA	NA	NA	1631854	53	1119494	68.6	54.61	24562	23805	23814	437	12	299	0.71	0.01	1.42	0	1.3	449274	27.53	4584	0.28	0	0	28775	1.76	29727	1.82	0	0	FALSE	Healthy
SRX185236	5.615	41.076	6.109	16.324	17.613	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	704	24876	5	53400	425856	5336	52	852	54	427	126	25	1	6	1	8	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	135	119361	4123381	0	13.6669070842593	28.8717325847173	NA	NA	NA	NA	1488920	0	959098	0	1005559	0	0	0.675361	NA	510033	112189	1478	58709	265575	1193	4850	8480	2974	9217	14081	4123381	524323	12.7	59.5	2038269	49.4	NA	NA	NA	NA	NA	NA	2085112	57	1087837	52.17	65.1	90124	80476	72208	9565	582	7769	2.69	0.01	1.27	0	1.31	401083	19.24	20147	0.97	0	0	107153	5.14	468892	22.49	0	0	FALSE	Neurodegenerative
SRX185237	6.744	39.829	7.346	18.239	19.557	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	442	4347	3	37907	313031	4588	31	675	36	296	76	15	0	5	2	3	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	77	63717	2538195	0	14.1911744369522	27.0962242248768	NA	NA	NA	NA	989110	0	629446	0	644662	0	0	0.65176	NA	363845	89139	1118	46526	177363	848	3361	5793	2350	6489	9800	2538195	347855	13.7	57.6	1164624	45.9	NA	NA	NA	NA	NA	NA	1373571	58	711746	51.82	65.46	36945	30790	27194	4910	68	4773	2.69	0.01	1.35	0	1.36	277364	20.19	12467	0.91	0	0	76003	5.53	295991	21.55	0	0	FALSE	Neurodegenerative
SRX185241	6.339	40.489	6.937	17.313	18.592	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	552	23372	6	26175	379445	5428	34	1061	56	400	144	27	0	12	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	88	65933	3911424	0	12.7914887263564	25.8501638442365	NA	NA	NA	NA	1171196	0	803761	0	799636	0	0	0.682752	NA	394315	96489	1229	58258	180993	1002	3836	6577	2899	7696	11445	3911424	439679	11.2	62.9	1870095	47.8	NA	NA	NA	NA	NA	NA	2041329	50	835780	40.94	62.52	70644	62130	56717	6469	701	6757	2.68	0.01	1.33	0	1.33	335416	16.43	18360	0.9	0	0	113671	5.57	738102	36.16	0	0	FALSE	Neurodegenerative
SRX185242	7.031	35.214	7.628	15.528	16.582	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	757	17731	9	43493	370268	5237	62	852	66	572	167	32	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	138	96948	4346682	0	12.7955682058177	19.8986090236426	NA	NA	NA	NA	1329182	0	859806	0	770835	0	0	0.579932	NA	590710	131636	1662	60662	315409	1348	5459	9607	3254	10135	15665	4346682	496189	11.4	62.9	2130243	49	NA	NA	NA	NA	NA	NA	2216439	50	1008110	45.48	64.62	70904	61385	58484	4067	207	8146	3.13	0.01	1.3	0	1.4	321072	14.49	19668	0.89	0	0	104365	4.71	763224	34.43	0	0	FALSE	Neurodegenerative
SRX185239	6.029	41.674	6.562	14.504	15.654	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	1543	35214	27	127851	802187	17150	127	2246	123	805	341	50	2	18	8	10	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	180	178334	8153897	0	12.9674001278162	24.157759759502	NA	NA	NA	NA	2598337	0	1531733	0	1721182	0	0	0.662417	NA	929972	204480	2551	105939	495771	2092	8257	14356	5271	15779	24195	8153897	986196	12.1	62.2	4327322	53.1	NA	NA	NA	NA	NA	NA	3826575	55	2008013	52.48	66.12	168608	150530	128147	24834	1037	14590	2.79	0.01	1.38	0	1.37	590324	15.43	35272	0.92	0	0	187455	4.9	1005511	26.28	0	0	FALSE	Neurodegenerative
SRX185238	5.055	41.734	5.518	17.894	19.254	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	370	28307	0	29316	310274	5115	40	582	44	290	77	19	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	111	66398	3456365	0	12.8146778479703	29.3401073751617	NA	NA	NA	NA	1076706	0	760121	0	766583	0	0	0.711971	NA	326985	74929	1035	40049	161547	862	3346	5801	2278	6337	9642	3456365	369156	10.7	62.7	1734319	50.2	NA	NA	NA	NA	NA	NA	1722046	52	732594	42.54	61.87	66829	59522	57410	3596	128	5695	2.66	0.01	1.34	0	1.3	344112	19.98	16083	0.93	0	0	100480	5.83	528777	30.71	0	0	FALSE	Neurodegenerative
SRX185247	5.279	39.685	5.723	16.104	17.362	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	628	25743	11	56648	388412	8978	50	603	59	385	167	33	4	8	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	107	98591	4408181	0	12.876902286907	25.6559927381711	NA	NA	NA	NA	1407570	0	933786	0	929173	0	0	0.660126	NA	504863	110019	1555	45587	277041	1196	4667	8236	2609	8615	13503	4408181	499153	11.3	62.2	2339734	53.1	NA	NA	NA	NA	NA	NA	2068447	55	1013959	49.02	65.31	89591	80838	72309	9612	739	6931	2.84	0.01	1.34	0	1.37	393611	19.03	18340	0.89	0	0	110842	5.36	531695	25.71	0	0	FALSE	Neurodegenerative
SRX185243	5.276	42.316	5.727	16.389	17.731	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	948	35750	6	51501	502337	11221	55	961	82	479	154	34	0	7	1	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	176	141568	5852848	0	12.4748373783157	28.1131322835506	NA	NA	NA	NA	1772818	0	1145111	0	1234756	0	0	0.696493	NA	570468	131586	1730	61779	298306	1279	5109	9064	3282	9639	14919	5852848	635048	10.9	63.8	3237106	55.3	NA	NA	NA	NA	NA	NA	2615742	54	1283422	49.07	63.66	138733	128494	119867	9702	931	8233	2.8	0.01	1.25	0	1.36	489396	18.71	24081	0.92	0	0	129251	4.94	689592	26.36	0	0	FALSE	Neurodegenerative
SRX185246	7.648	40.823	8.357	18.576	19.788	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	688	20177	2	30091	417294	8079	39	1302	56	413	159	20	0	8	1	7	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	90	58252	3339488	0	13.6667728705718	25.8988895966625	NA	NA	NA	NA	1162278	0	697593	0	759256	0	0	0.653248	NA	428858	111336	1185	65098	194149	996	3948	6851	3046	7856	11563	3339488	437460	13.1	59.8	1522467	45.6	NA	NA	NA	NA	NA	NA	1817021	53	860575	47.36	64.54	62829	54683	51337	4706	164	6622	2.65	0.01	1.41	0	1.34	301703	16.6	14955	0.82	0	0	101366	5.58	538422	29.63	0	0	FALSE	Neurodegenerative
SRX185244	9.943	42.786	10.884	26.41	27.763	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	385	485	3	27070	407928	645	30	122	28	263	122	9	0	5	0	3	1	0	0	1	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	120	39484	3788249	0	6.84127152148658	9.90198322011086	NA	NA	NA	NA	849735	0	410779	0	539329	0	0	0.634703	NA	323347	99661	1135	57742	130963	494	2020	3466	1649	4696	6937	3788249	313668	8.3	80.4	2881398	76.1	NA	NA	NA	NA	NA	NA	906851	53	637713	70.32	54.91	18884	18297	18359	274	11	240	0.86	0.01	1.45	0	1.39	212022	23.38	5819	0.64	0	0	19764	2.18	31533	3.48	0	0	FALSE	Neurodegenerative
SRX185248	5.891	43.788	6.452	19.014	20.171	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	581	29708	6	29981	399122	6005	54	933	42	326	110	17	0	6	2	5	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	113	73505	3561492	0	13.3364123799801	28.4565395815389	NA	NA	NA	NA	1227107	0	754576	0	867744	0	0	0.707146	NA	379169	90755	1128	53431	180761	853	3455	6132	2686	7180	10802	3561492	442249	12.4	60.6	1864627	52.4	NA	NA	NA	NA	NA	NA	1696865	58	869759	51.26	64.17	83324	76033	66583	10709	363	5669	2.4	0.01	1.34	0	1.33	357348	21.06	14787	0.87	0	0	92807	5.47	362164	21.34	0	0	FALSE	Neurodegenerative
SRX185245	6.042	44.12	6.597	16.19	17.387	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	1487	32233	7	72446	770762	12900	91	2150	117	787	253	48	0	10	1	7	1	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	120	107422	5984896	0	13.9876601030327	28.1481842796102	NA	NA	NA	NA	2214655	0	1271647	0	1538153	0	0	0.694534	NA	716450	160052	1836	98965	356614	1710	6680	11521	4952	14036	21037	5984896	832074	13.9	58.3	2631562	44	NA	NA	NA	NA	NA	NA	3353334	55	1665563	49.67	64.86	129395	114429	104969	11590	849	11987	2.71	0.01	1.4	0	1.34	549092	16.37	26425	0.79	0	0	200114	5.97	912140	27.2	0	0	FALSE	Neurodegenerative
SRX185249	6.28	42.949	6.846	15.803	17.166	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	1539	54521	13	75898	845923	14767	130	1986	101	902	281	63	1	17	2	7	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	196	119431	6126804	0	14.5439047829831	29.3149375245876	NA	NA	NA	NA	2485951	0	1402341	0	1670003	0	0	0.671776	NA	863751	192524	2345	109938	447921	1753	7074	12588	5042	14764	22398	6126804	913600	14.9	56.5	2782642	45.4	NA	NA	NA	NA	NA	NA	3344162	59	1895168	56.67	66.71	169259	153336	146059	9544	582	13074	2.66	0.01	1.33	0	1.4	590783	17.67	28718	0.86	0	0	154256	4.61	675237	20.19	0	0	FALSE	Neurodegenerative
SRX185251	7.613	14.958	8.64	13.858	15.483	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	0	0	0	5	162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	4659	0	8.7005795235029	9.59433354797167	NA	NA	NA	NA	654	0	515	0	176	0	0	0.269113	NA	500	106	1	27	230	3	14	20	7	20	24	4659	712	15.3	76.6	3570	76.6	NA	NA	NA	NA	NA	NA	1089	52	512	47.02	69.04	17	12	14	0	0	3	1.42	0.01	1.5	0	0	142	13.04	20	1.84	0	0	110	10.1	305	28.01	0	0	FALSE	Neurodegenerative
SRX185252	6.978	38.337	7.59	16.67	18.042	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	653	21966	1	48065	390606	12655	91	962	51	412	139	25	0	11	4	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	108	77551	3408711	0	14.0828072547071	25.1000176136941	NA	NA	NA	NA	1291807	0	791648	0	798744	0	0	0.618315	NA	521376	120553	1574	60492	269903	1197	4707	8155	2998	8922	13555	3408711	458607	13.5	58.2	1592122	46.7	NA	NA	NA	NA	NA	NA	1816589	57	969958	53.39	66.23	82894	74684	72891	3140	233	6630	2.79	0.01	1.4	0	1.4	321849	17.72	16128	0.89	0	0	84445	4.65	424209	23.35	0	0	FALSE	Neurodegenerative
SRX185225	8.071	41.275	8.785	15.503	16.81	SRP015668	GSE40710	Brain	NA	Healthy	Healthy	0	1313	22170	13	69092	705773	18477	76	2849	65	758	268	39	1	15	5	12	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	119	75702	9198124	0	8.36949393158866	23.2670650041517	NA	NA	NA	NA	1797426	0	966795	0	1140922	0	0	0.634753	NA	697811	172226	1927	103624	331651	1496	5735	10084	4689	12516	18583	9198124	686277	7.5	77	6716576	73	NA	NA	NA	NA	NA	NA	2481548	57	1441250	58.08	65.68	115846	103835	98369	6974	759	9744	2.44	0.01	1.47	0	1.43	356176	14.35	19935	0.8	0	0	106845	4.31	557342	22.46	0	0	FALSE	Healthy
SRX185240	8.938	43.445	9.689	24.854	25.949	SRP015668	GSE40710	Brain	NA	Neurodegenarative disease	Parkinson’s disease	0	627	1122	3	57646	486156	848	64	183	42	397	167	12	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	151	102103	4654818	0	7.95901988004687	13.4157310570844	NA	NA	NA	NA	1250686	0	516340	0	767690	0	0	0.613815	NA	501795	130679	1568	67135	253254	730	2906	5086	2043	6698	10165	4654818	439105	9.4	76.4	3348336	71.9	NA	NA	NA	NA	NA	NA	1306482	55	958356	73.35	56.98	25777	25014	24978	476	15	308	0.79	0.01	1.42	0	1.36	292330	22.38	4254	0.33	0	0	24723	1.89	26819	2.05	0	0	FALSE	Neurodegenerative
SRX2581844	0.173	48.931	0.186	27.367	28.07	SRP032279	GSE51799	Blood	NA	Neurodegenarative disease	Huntington disease	0	13832	11863	99	73018	5679168	27574	243	8035	356	2034	2139	58	0	9	13	64	0	0	12	0	32	1002	3	0	0	0	0	1892	1	893	11	0	0	6	0	0	0	0	80	15605	22418580	0	36.3489046139408	96.2810264015518	NA	NA	NA	NA	21762589	0	21477043	0	21157733	0	0	0.972207	NA	638303	86709	2353	45129	327859	3368	13187	22871	4800	17099	28100	22418580	86868	0.4	0.8	219233	1	NA	NA	NA	NA	NA	NA	22199347	24	8108703	36.53	18.72	715900	541726	597782	117982	71	65	0.88	0	1	0	1.01	13653886	61.51	66272	0.3	0	0	369042	1.66	1444	0.01	0	0	FALSE	Neurodegenerative
SRX2581792	0.164	49.56	0.177	28.313	29.012	SRP032279	GSE51799	Blood	NA	Healthy	Healthy	0	15151	5168	110	72507	6648552	51653	235	12530	261	2673	2021	55	3	3	16	66	3	0	10	0	92	2364	14	0	0	0	0	4458	2	1352	5	0	0	11	0	0	0	0	127	25103	24874093	0	36.5084390011728	96.6533807444836	NA	NA	NA	NA	24380812	0	23609827	0	23784234	0	0	0.975531	NA	627666	89359	2320	48502	320895	3037	12196	21460	4762	16787	27333	24874093	38947	0.2	0.7	198672	0.8	NA	NA	NA	NA	NA	NA	24675421	24	9050390	36.68	18.65	742064	546990	586230	154815	959	60	0.82	0	1	0	1	15330422	62.13	63325	0.26	0	0	230114	0.93	1170	0	0	0	FALSE	Healthy
SRX2581843	0.183	49.667	0.197	26.857	27.575	SRP032279	GSE51799	Blood	NA	Neurodegenarative disease	Huntington disease	0	3416	24740	77	64309	6142500	32782	228	6333	236	2001	1639	44	2	7	10	83	0	0	86	0	50	1361	3	0	0	0	0	2765	0	714	11	0	0	12	0	0	0	0	31	11519	22225307	0	35.4946088258758	95.5539816608346	NA	NA	NA	NA	21128796	0	20042990	0	20448975	0	0	0.967825	NA	717217	88733	2518	46215	371946	3728	15106	26506	5460	19471	32283	22225307	104649	0.5	1.5	373103	1.7	NA	NA	NA	NA	NA	NA	21852204	24	8393092	38.41	18.61	762095	598024	564720	196606	559	210	0.85	0	1	0	1	12735704	58.28	55310	0.25	0	0	666004	3.05	2094	0.01	0	0	FALSE	Neurodegenerative
